@relation 'winequality-red-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-F-B10-M-1.0-R5,8-precision6'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides {'\'(-inf-0.0605]\'','\'(0.0605-0.0675]\'','\'(0.0675-0.0725]\'','\'(0.0725-0.0755]\'','\'(0.0755-0.0785]\'','\'(0.0785-0.0815]\'','\'(0.0815-0.0865]\'','\'(0.0865-0.0935]\'','\'(0.0935-0.1065]\'','\'(0.1065-inf)\''}
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density {'\'(-inf-0.99455]\'','\'(0.99455-0.99535]\'','\'(0.99535-0.995865]\'','\'(0.995865-0.996305]\'','\'(0.996305-0.996755]\'','\'(0.996755-0.997175]\'','\'(0.997175-0.99759]\'','\'(0.99759-0.99816]\'','\'(0.99816-0.99912]\'','\'(0.99912-inf)\''}
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
7.4,0.7,0,1.9,'\'(0.0755-0.0785]\'',11,34,'\'(0.99759-0.99816]\'',3.51,0.56,9.4,5
7.8,0.88,0,2.6,'\'(0.0935-0.1065]\'',25,67,'\'(0.996755-0.997175]\'',3.2,0.68,9.8,5
7.8,0.76,0.04,2.3,'\'(0.0865-0.0935]\'',15,54,'\'(0.996755-0.997175]\'',3.26,0.65,9.8,5
11.2,0.28,0.56,1.9,'\'(0.0725-0.0755]\'',17,60,'\'(0.99759-0.99816]\'',3.16,0.58,9.8,6
7.4,0.7,0,1.9,'\'(0.0755-0.0785]\'',11,34,'\'(0.99759-0.99816]\'',3.51,0.56,9.4,5
7.4,0.66,0,1.8,'\'(0.0725-0.0755]\'',13,40,'\'(0.99759-0.99816]\'',3.51,0.56,9.4,5
7.9,0.6,0.06,1.6,'\'(0.0675-0.0725]\'',15,59,'\'(0.996305-0.996755]\'',3.3,0.46,9.4,5
7.3,0.65,0,1.2,'\'(0.0605-0.0675]\'',15,21,'\'(0.99455-0.99535]\'',3.39,0.47,10,7
7.8,0.58,0.02,2,'\'(0.0725-0.0755]\'',9,18,'\'(0.996755-0.997175]\'',3.36,0.57,9.5,7
7.5,0.5,0.36,6.1,'\'(0.0675-0.0725]\'',17,102,'\'(0.99759-0.99816]\'',3.35,0.8,10.5,5
