@relation 'winequality-white-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4,8-precision6'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' {'\'(-inf-7.12]\'','\'(7.12-13.64]\'','\'(13.64-20.16]\'','\'(20.16-26.68]\'','\'(26.68-33.2]\'','\'(33.2-39.72]\'','\'(39.72-46.24]\'','\'(46.24-52.76]\'','\'(52.76-59.28]\'','\'(59.28-inf)\''}
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density {'\'(-inf-0.992297]\'','\'(0.992297-0.997484]\'','\'(0.997484-1.002671]\'','\'(1.002671-1.007858]\'','\'(1.007858-1.013045]\'','\'(1.013045-1.018232]\'','\'(1.018232-1.023419]\'','\'(1.023419-1.028606]\'','\'(1.028606-1.033793]\'','\'(1.033793-inf)\''}
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
7,0.27,0.36,'\'(20.16-26.68]\'',0.045,45,170,'\'(0.997484-1.002671]\'',3,0.45,8.8,6
6.3,0.3,0.34,'\'(-inf-7.12]\'',0.049,14,132,'\'(0.992297-0.997484]\'',3.3,0.49,9.5,6
8.1,0.28,0.4,'\'(-inf-7.12]\'',0.05,30,97,'\'(0.992297-0.997484]\'',3.26,0.44,10.1,6
7.2,0.23,0.32,'\'(7.12-13.64]\'',0.058,47,186,'\'(0.992297-0.997484]\'',3.19,0.4,9.9,6
7.2,0.23,0.32,'\'(7.12-13.64]\'',0.058,47,186,'\'(0.992297-0.997484]\'',3.19,0.4,9.9,6
8.1,0.28,0.4,'\'(-inf-7.12]\'',0.05,30,97,'\'(0.992297-0.997484]\'',3.26,0.44,10.1,6
6.2,0.32,0.16,'\'(-inf-7.12]\'',0.045,30,136,'\'(0.992297-0.997484]\'',3.18,0.47,9.6,6
7,0.27,0.36,'\'(20.16-26.68]\'',0.045,45,170,'\'(0.997484-1.002671]\'',3,0.45,8.8,6
6.3,0.3,0.34,'\'(-inf-7.12]\'',0.049,14,132,'\'(0.992297-0.997484]\'',3.3,0.49,9.5,6
8.1,0.22,0.43,'\'(-inf-7.12]\'',0.044,28,129,'\'(0.992297-0.997484]\'',3.22,0.45,11,6
8.1,0.27,0.41,'\'(-inf-7.12]\'',0.033,11,63,'\'(-inf-0.992297]\'',2.99,0.56,12,5
8.6,0.23,0.4,'\'(-inf-7.12]\'',0.035,17,109,'\'(0.992297-0.997484]\'',3.14,0.53,9.7,5
7.9,0.18,0.37,'\'(-inf-7.12]\'',0.04,16,75,'\'(-inf-0.992297]\'',3.18,0.63,10.8,5
6.6,0.16,0.4,'\'(-inf-7.12]\'',0.044,48,143,'\'(-inf-0.992297]\'',3.54,0.52,12.4,7
8.3,0.42,0.62,'\'(13.64-20.16]\'',0.04,41,172,'\'(0.997484-1.002671]\'',2.98,0.67,9.7,5
6.6,0.17,0.38,'\'(-inf-7.12]\'',0.032,28,112,'\'(-inf-0.992297]\'',3.25,0.55,11.4,7
6.3,0.48,0.04,'\'(-inf-7.12]\'',0.046,30,99,'\'(0.992297-0.997484]\'',3.24,0.36,9.6,6
6.2,0.66,0.48,'\'(-inf-7.12]\'',0.029,29,75,'\'(-inf-0.992297]\'',3.33,0.39,12.8,8
7.4,0.34,0.42,'\'(-inf-7.12]\'',0.033,17,171,'\'(-inf-0.992297]\'',3.12,0.53,11.3,6
6.5,0.31,0.14,'\'(7.12-13.64]\'',0.044,34,133,'\'(0.992297-0.997484]\'',3.22,0.5,9.5,5
6.2,0.66,0.48,'\'(-inf-7.12]\'',0.029,29,75,'\'(-inf-0.992297]\'',3.33,0.39,12.8,8
6.4,0.31,0.38,'\'(-inf-7.12]\'',0.038,19,102,'\'(-inf-0.992297]\'',3.17,0.35,11,7
6.8,0.26,0.42,'\'(-inf-7.12]\'',0.049,41,122,'\'(0.992297-0.997484]\'',3.47,0.48,10.5,8
7.6,0.67,0.14,'\'(-inf-7.12]\'',0.074,25,168,'\'(0.992297-0.997484]\'',3.05,0.51,9.3,5
6.6,0.27,0.41,'\'(-inf-7.12]\'',0.052,16,142,'\'(0.992297-0.997484]\'',3.42,0.47,10,6
7,0.25,0.32,'\'(7.12-13.64]\'',0.046,56,245,'\'(0.992297-0.997484]\'',3.25,0.5,10.4,6
6.9,0.24,0.35,'\'(-inf-7.12]\'',0.052,35,146,'\'(0.992297-0.997484]\'',3.45,0.44,10,6
7,0.28,0.39,'\'(7.12-13.64]\'',0.051,32,141,'\'(0.992297-0.997484]\'',3.38,0.53,10.5,6
7.4,0.27,0.48,'\'(-inf-7.12]\'',0.047,17,132,'\'(-inf-0.992297]\'',3.19,0.49,11.6,6
7.2,0.32,0.36,'\'(-inf-7.12]\'',0.033,37,114,'\'(-inf-0.992297]\'',3.1,0.71,12.3,7
8.5,0.24,0.39,'\'(7.12-13.64]\'',0.044,20,142,'\'(0.992297-0.997484]\'',3.2,0.53,10,6
8.3,0.14,0.34,'\'(-inf-7.12]\'',0.042,7,47,'\'(0.992297-0.997484]\'',3.47,0.4,10.2,6
7.4,0.25,0.36,'\'(-inf-7.12]\'',0.05,31,100,'\'(-inf-0.992297]\'',3.19,0.44,10.8,6
6.2,0.12,0.34,'\'(-inf-7.12]\'',0.045,43,117,'\'(0.992297-0.997484]\'',3.42,0.51,9,6
5.8,0.27,0.2,'\'(13.64-20.16]\'',0.044,22,179,'\'(0.992297-0.997484]\'',3.37,0.37,10.2,5
7.3,0.28,0.43,'\'(-inf-7.12]\'',0.08,21,123,'\'(-inf-0.992297]\'',3.19,0.42,12.8,5
6.5,0.39,0.23,'\'(-inf-7.12]\'',0.051,25,149,'\'(0.992297-0.997484]\'',3.24,0.35,10,5
7,0.33,0.32,'\'(-inf-7.12]\'',0.053,38,138,'\'(-inf-0.992297]\'',3.13,0.28,11.2,6
7.3,0.24,0.39,'\'(13.64-20.16]\'',0.057,45,149,'\'(0.997484-1.002671]\'',3.21,0.36,8.6,5
7.3,0.24,0.39,'\'(13.64-20.16]\'',0.057,45,149,'\'(0.997484-1.002671]\'',3.21,0.36,8.6,5
6.7,0.23,0.39,'\'(-inf-7.12]\'',0.172,63,158,'\'(0.992297-0.997484]\'',3.11,0.36,9.4,6
6.7,0.24,0.39,'\'(-inf-7.12]\'',0.173,63,157,'\'(0.992297-0.997484]\'',3.1,0.34,9.4,6
7,0.31,0.26,'\'(7.12-13.64]\'',0.069,28,160,'\'(0.992297-0.997484]\'',3.13,0.46,9.8,6
6.6,0.24,0.27,'\'(-inf-7.12]\'',0.057,33,152,'\'(0.992297-0.997484]\'',3.22,0.56,9.5,6
6.7,0.23,0.26,'\'(-inf-7.12]\'',0.06,33,154,'\'(0.992297-0.997484]\'',3.24,0.56,9.5,6
7.4,0.18,0.31,'\'(-inf-7.12]\'',0.058,38,167,'\'(0.992297-0.997484]\'',3.16,0.53,10,7
6.2,0.45,0.26,'\'(-inf-7.12]\'',0.063,63,206,'\'(0.992297-0.997484]\'',3.27,0.52,9.8,4
6.2,0.46,0.25,'\'(-inf-7.12]\'',0.066,62,207,'\'(0.992297-0.997484]\'',3.25,0.52,9.8,5
7,0.31,0.26,'\'(7.12-13.64]\'',0.069,28,160,'\'(0.992297-0.997484]\'',3.13,0.46,9.8,6
6.9,0.19,0.35,'\'(-inf-7.12]\'',0.067,32,150,'\'(0.992297-0.997484]\'',3.36,0.48,9.8,5
7.2,0.19,0.31,'\'(-inf-7.12]\'',0.062,31,173,'\'(-inf-0.992297]\'',3.35,0.44,11.7,6
6.6,0.25,0.29,'\'(-inf-7.12]\'',0.068,39,124,'\'(-inf-0.992297]\'',3.34,0.58,11,7
6.2,0.16,0.33,'\'(-inf-7.12]\'',0.057,21,82,'\'(-inf-0.992297]\'',3.32,0.46,10.9,7
6.4,0.18,0.35,'\'(-inf-7.12]\'',0.045,39,108,'\'(-inf-0.992297]\'',3.31,0.35,10.9,6
6.8,0.2,0.59,'\'(-inf-7.12]\'',0.147,38,132,'\'(0.992297-0.997484]\'',3.05,0.38,9.1,6
6.9,0.25,0.35,'\'(-inf-7.12]\'',0.039,29,191,'\'(-inf-0.992297]\'',3.13,0.52,11,6
7.2,0.21,0.34,'\'(7.12-13.64]\'',0.043,37,213,'\'(0.992297-0.997484]\'',3.09,0.5,9.6,6
6,0.19,0.26,'\'(7.12-13.64]\'',0.048,50,147,'\'(0.992297-0.997484]\'',3.3,0.36,8.9,6
6.6,0.38,0.15,'\'(-inf-7.12]\'',0.044,25,78,'\'(0.992297-0.997484]\'',3.11,0.38,10.2,6
7.4,0.2,0.36,'\'(-inf-7.12]\'',0.038,44,111,'\'(0.992297-0.997484]\'',3.36,0.34,9.9,6
6.8,0.22,0.24,'\'(-inf-7.12]\'',0.092,30,123,'\'(0.992297-0.997484]\'',3.03,0.46,8.6,6
6,0.19,0.26,'\'(7.12-13.64]\'',0.048,50,147,'\'(0.992297-0.997484]\'',3.3,0.36,8.9,6
7,0.47,0.07,'\'(-inf-7.12]\'',0.035,17,151,'\'(-inf-0.992297]\'',3.02,0.34,10.5,5
